url,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway
https://bj.lianjia.com/chengjiao/101084782030.html,1.01E+11,116.475489,40.01952,1.11E+12,2016-08-09,1464,106,415,31680,131,2,1,1,1,1,2005,3,6,0.217,1,0,1
https://bj.lianjia.com/chengjiao/101086012217.html,1.01E+11,116.453917,39.881534,1.11E+12,2016-07-28,903,126,575,43436,132.38,2,2,1,2,1,2004,4,6,0.667,1,1,0
https://bj.lianjia.com/chengjiao/101086041636.html,1.01E+11,116.561978,39.877145,1.11E+12,2016-12-11,1271,48,1030,52021,198,3,2,1,3,4,2005,3,6,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101086406841.html,1.01E+11,116.43801,40.076114,1.11E+12,2016-09-30,965,138,297.5,22202,134,3,1,1,1,1,2008,1,6,0.273,1,0,0
https://bj.lianjia.com/chengjiao/101086920653.html,1.01E+11,116.428392,39.886229,1.11E+12,2016-08-28,927,286,392,48396,81,2,1,1,1,4,1960,2,2,0.333,0,1,1
https://bj.lianjia.com/chengjiao/101087277815.html,1.01E+11,116.46628,39.991363,1.11E+12,2016-07-22,861,57,275.6,52000,53,1,0,1,1,4,2005,3,6,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101087292623.html,1.01E+11,116.482586,39.891991,1.11E+12,2016-07-14,851,167,275,37672,73,2,1,1,1,4,1997,4,2,0.5,0,0,0
https://bj.lianjia.com/chengjiao/101087303800.html,1.01E+11,116.453917,39.881534,1.11E+12,2016-09-07,904,138,800,49521,161.55,3,2,1,2,1,2004,4,6,0.667,1,1,0
https://bj.lianjia.com/chengjiao/101087463212.html,1.01E+11,116.555729,40.162058,1.11E+12,2016-09-04,873,218,134,27917,48,1,0,1,1,3,2009,1,2,0.333,0,0,0
https://bj.lianjia.com/chengjiao/101087508625.html,1.01E+11,116.453086,39.898397,1.11E+12,2016-09-05,865,134,380,55883,68,1,0,0,0,1,2009,4,6,0.308,1,1,1
